codigo,nombre,categoria
" 03-010-0001",ALAMBRÓN EST 4MMX6MTS,ALAMBRÓN
" 03-010-0003",ALAMBRÓN EST 5.2MMX6MTS,ALAMBRÓN
" 03-010-0004",ALAMBRÓN EST 6MMX6MTS,ALAMBRÓN
" 03-010-0006",ALAMBRÓN EST 7MMX6MTS,ALAMBRÓN
" 03-010-0007",ALAMBRÓN LISO 6MMX6MTS,ALAMBRÓN
" 03-010-0009",ALAMBRÓN LISO 5.2MMX6MTS,ALAMBRÓN
" 03-010-0011",ALAMBRÓN EST 7.5MMX6MTS,ALAMBRÓN
" 03-011-0001",ÁNGULO HN 100X100X8MMX12MTS SID,ÁNGULOS
" 03-011-0002",ÁNGULO HN 20X20X2.5MMX6MTS,ÁNGULOS
" 03-011-0003",ÁNGULO HN 20X20X3MMX6MTS,ÁNGULOS
" 03-011-0005",ÁNGULO HN 25X25X3MMX6MTS,ÁNGULOS
" 03-011-0007",ÁNGULO HN 30X30X3MMX6MTS,ÁNGULOS
" 03-011-0008",ÁNGULO HN 40X40X3MMX6MTS,ÁNGULOS
" 03-011-0010",ÁNGULO HN 40X40X4MMX6MTS SID,ÁNGULOS
" 03-011-0011",ÁNGULO HN 40X40X4MMX6MTS,ÁNGULOS
" 03-011-0012",ÁNGULO HN 50X50X4MMX6MTS,ÁNGULOS
" 03-011-0013",ÁNGULO HN 50X50X4MMX12MTS SID,ÁNGULOS
" 03-011-0014",ÁNGULO HN 50X50X5MMX12MTS SID,ÁNGULOS
" 03-011-0015",ÁNGULO HN 50X50X5MMX6MTS SID,ÁNGULOS
" 03-011-0016",ÁNGULO HN 65X65X5MMX12MTS SID,ÁNGULOS
" 03-011-0017",ÁNGULO HN 65X65X7MMX12MTS SID,ÁNGULOS
" 03-011-0018",ÁNGULO HN 75X75X7MMX12MTS SID,ÁNGULOS
" 03-011-0022",ÁNGULO HN 65X65X5MMX6MTS SID,ÁNGULOS
" 03-011-0026",ÁNGULO HN 100X100X10MMX6MTRS SID,ÁNGULOS
" 03-011-0027",ÁNGULO HN 65X65X6MMX12MTS SID,ÁNGULOS
" 03-011-0031",ÁNGULO HN 65X65X6MMX6MTS SID,ÁNGULOS
" 03-011-0032",ÁNGULO HN 100X100X10MMX12MTS SID,ÁNGULOS
" 03-011-0034",ÁNGULO HN 30X30X3MMX6MTS SID,ÁNGULOS
" 03-011-0037",ÁNGULO HN 150X150X12MMX12MTS SID,ÁNGULOS
" 03-011-0046",ÁNGULO HN 50X50X3MMX6MTS SID,ÁNGULOS
" 03-011-0049",ÁNGULO HN 50X5MMX6MTS,ÁNGULOS
" 03-011-0050",ÁNGULO HN 40X40X4MMX12MTS SID,ÁNGULOS
" 03-011-0051",ÁNGULO HN 50X50X3MMX12MTS SID,ÁNGULOS
" 03-011-0052",ÁNGULO HN 50X50X4MMX6MTS SID,ÁNGULOS
" 03-011-0053",ÁNGULO HN 20X20X3MMX6MTS SID,ÁNGULOS
" 03-014-0001",BARRA ACERO C/RESALTE 3/8'' 10MMX12MTS S60 SZ,BARRAS ESTRIADAS
" 03-014-0003",BARRA ACERO C/RESALTE 3/8'' 10MMX6MTS S60 SIDOR,BARRAS ESTRIADAS
" 03-014-0004",BARRA ACERO C/RESALTE 1/2'' 12MMX12MTS S60 CSN,BARRAS ESTRIADAS
" 03-014-0007",BARRA ACERO C/RESALTE 5/8'' 16MMX12MTS S60 SZ,BARRAS ESTRIADAS
" 03-014-0008",BARRA ACERO C/RESALTE 3/4'' 20MMX12MTS S60 SZ,BARRAS ESTRIADAS
" 03-014-0009",BARRA ACERO C/RESALTE 7/8'' 22MMX12MTS S60 SZ,BARRAS ESTRIADAS
" 03-014-0010",BARRA ACERO C/RESALTE 1'' 25MMX12MTS CSN,BARRAS ESTRIADAS
" 03-014-0013",BARRA ACERO C/RESALTE 3/8'' 10MMX12MTS S60 SIDOR,BARRAS ESTRIADAS
" 03-014-0017",BARRA ACERO C/RESALTE 5/8'' 16MMX6MTS S60 SZ,BARRAS ESTRIADAS
" 03-014-0019",BARRA ACERO C/RESALTE 1/2'' 12MMX12MTS DE SEGUNDA,BARRAS ESTRIADAS
" 03-014-0020",BARRA ACERO C/RESALTE 3/8'' 10MMX12MTS CSN,BARRAS ESTRIADAS
" 03-014-0022",BARRA ACERO C/RESALTE 7/8 22MMX6MTS S60 SZ,BARRAS ESTRIADAS
" 03-014-0023",BARRA ACERO C/RESALTE 5/8 16MMX12MTS SIDOR,BARRAS ESTRIADAS
" 03-014-0024",BARRA ACERO C/RESALTE 20MMX12MTS S60 SZ,BARRAS ESTRIADAS
